HotelID,AccommodationName,LocationID,Type,LocationName,BrandList
DIST0000074877,Island Inn,1324,DestinationCountry,Barbados,<Brand>HGN</Brand><Brand>JET</Brand>
DIST0000074878,Island Inn All Inclusive Hotel,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000076854,Little Arches Boutique Hotel Barbados,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000077566,Mango Bay - All Inclusive,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000079375,Mullins Heights Barbados,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000080423,Ocean Two,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000080425,Ocean Two Resort & Residences,1324,DestinationCountry,Barbados,<Brand>EXP</Brand><Brand>JET</Brand>
DIST0000082167,Pirate&#39;s Inn,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand><Brand>JET</Brand>
DIST0000082466,Port St Charles,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000085536,Santosha Barbados,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000085716,Sea Breeze Beach Hotel - All Inclusive,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000085815,Sea-U Guest House,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000086975,South Beach Barbados,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000086978,South Beach Hotel,1324,DestinationCountry,Barbados,<Brand>EXP</Brand><Brand>JET</Brand>
DIST0000087188,St. Peters Bay,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000087900,Sweetfield Manor Historic Inn and B&B,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000088428,The Club Barbados An Elite Island Resort - All Inclusive Adults Only,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000088436,"The Club, Barbados Resort &amp; Spa All Inclusive",1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000089777,Treasure Beach Hotel,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000089879,Tropical Winds Apartment Hotel,1324,DestinationCountry,Barbados,<Brand>EBK</Brand><Brand>EXP</Brand>
DIST0000090091,Turtle Beach By Elegant Hotels -Premium All Inclusive All Suites,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000091555,White Sands Barbados,1324,DestinationCountry,Barbados,<Brand>EBK</Brand>
DIST0000091556,White Sands Beach Villas,1324,DestinationCountry,Barbados,<Brand>EXP</Brand>
DIST0000091657,Wsb Villas,1324,DestinationCountry,Barbados,<Brand>JET</Brand>
DIST0000060814,Cambridge Beaches Luxury Resort And Spa - Adults Only,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000062651,Coco Reef Bermuda,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000065325,Elbow Beach Bermuda,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000079719,Newstead Belmont Hills Golf Resort And Spa,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000082146,Pink Beach Club And Cottages,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000084934,Royal Palms Hotel,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000087871,Surf Side Beach Club,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000088525,The Fairmont Hamilton Princess,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000088533,The Fairmont Southampton,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000089341,The Wharf Executive Suites Hotel,1019,DestinationCountry,Bermuda,<Brand>EBK</Brand>
DIST0000055950,Alexandra Hotel,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000056081,All Suites Deluxe Majestique Downtown Montreal,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000056158,Aloft Montreal Airport,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000056217,Alt Hotel Toronto Pearson,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000058254,Auberge Du Vieux Port,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000058255,Auberge Le Pomerol,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000058256,Auberge Manoir Ville Marie,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000058257,Auberge Royal Versailles,4,DestinationCountry,Canada,<Brand>EBK</Brand>
DIST0000059153,Beausejour Hotel Apartments,4,DestinationCountry,Canada,<Brand>EBK</Brand>
